caseid,StudyID,year,study,es,se,yearsafter,impactfactor,citationindex,Dynamic,Innovative industry,Industry,Study,Journals,Firm 1,Firm 2
2,EU1,2005,"Kemp, Kersten and Severijnen (2012)",0.63,0.574468085,4,0.75,13,1,0,Hospitals,"Kemp, Kersten and Severijnen (2012)",De Economist,Erasmus MC ziekenhuis,Havenziekenhuis Rotterdam
2,EU1,2005,"Kemp, Kersten and Severijnen (2012)",6.64,2.578640777,5,0.75,13,1,0,Hospitals,"Kemp, Kersten and Severijnen (2012)",De Economist,Erasmus MC ziekenhuis,Havenziekenhuis Rotterdam
2,EU1,2005,"Kemp, Kersten and Severijnen (2012)",-0.03,0.027355623,1,0.75,13,1,0,Hospitals,"Kemp, Kersten and Severijnen (2012)",De Economist,Erasmus MC ziekenhuis,Havenziekenhuis Rotterdam
2,EU1,2005,"Kemp, Kersten and Severijnen (2012)",-0.99,0.902735562,2,0.75,13,1,0,Hospitals,"Kemp, Kersten and Severijnen (2012)",De Economist,Erasmus MC ziekenhuis,Havenziekenhuis Rotterdam
2,EU1,2005,"Kemp, Kersten and Severijnen (2012)",-4.81,1.867961165,3,0.75,13,1,0,Hospitals,"Kemp, Kersten and Severijnen (2012)",De Economist,Erasmus MC ziekenhuis,Havenziekenhuis Rotterdam
2,EU1,2005,"Kemp, Kersten and Severijnen (2012)",-3.2,1.242718447,4,0.75,13,1,0,Hospitals,"Kemp, Kersten and Severijnen (2012)",De Economist,Erasmus MC ziekenhuis,Havenziekenhuis Rotterdam
2,EU1,2005,"Kemp, Kersten and Severijnen (2012)",-4.64,1.801941748,5,0.75,13,1,0,Hospitals,"Kemp, Kersten and Severijnen (2012)",De Economist,Erasmus MC ziekenhuis,Havenziekenhuis Rotterdam
3,EU1,2007,"Kemp, Kersten and Severijnen (2012)",-6.48,2.516504854,1,0.75,13,1,0,Hospitals,"Kemp, Kersten and Severijnen (2012)",De Economist,Medisch Centrum Alkmaar,Gemini Ziekenhuis
3,EU1,2007,"Kemp, Kersten and Severijnen (2012)",12.11,4.702912621,2,0.75,13,1,0,Hospitals,"Kemp, Kersten and Severijnen (2012)",De Economist,Medisch Centrum Alkmaar,Gemini Ziekenhuis
3,EU1,2007,"Kemp, Kersten and Severijnen (2012)",4.76,1.848543689,3,0.75,13,1,0,Hospitals,"Kemp, Kersten and Severijnen (2012)",De Economist,Medisch Centrum Alkmaar,Gemini Ziekenhuis
3,EU1,2007,"Kemp, Kersten and Severijnen (2012)",9.1,3.533980583,1,0.75,13,1,0,Hospitals,"Kemp, Kersten and Severijnen (2012)",De Economist,Medisch Centrum Alkmaar,Gemini Ziekenhuis
3,EU1,2007,"Kemp, Kersten and Severijnen (2012)",23.45,9.106796117,2,0.75,13,1,0,Hospitals,"Kemp, Kersten and Severijnen (2012)",De Economist,Medisch Centrum Alkmaar,Gemini Ziekenhuis
3,EU1,2007,"Kemp, Kersten and Severijnen (2012)",16.54,6.423300971,3,0.75,13,1,0,Hospitals,"Kemp, Kersten and Severijnen (2012)",De Economist,Medisch Centrum Alkmaar,Gemini Ziekenhuis
4,EU1,2008,"Kemp, Kersten and Severijnen (2012)",1.39,0.539805825,1,0.75,13,1,0,Hospitals,"Kemp, Kersten and Severijnen (2012)",De Economist,St. Lucas Ziekenhuis,Delfzicht ziekenhuis
4,EU1,2008,"Kemp, Kersten and Severijnen (2012)",3.43,1.332038835,2,0.75,13,1,0,Hospitals,"Kemp, Kersten and Severijnen (2012)",De Economist,St. Lucas Ziekenhuis,Delfzicht ziekenhuis
4,EU1,2008,"Kemp, Kersten and Severijnen (2012)",5.68,2.205825243,1,0.75,13,1,0,Hospitals,"Kemp, Kersten and Severijnen (2012)",De Economist,St. Lucas Ziekenhuis,Delfzicht ziekenhuis
4,EU1,2008,"Kemp, Kersten and Severijnen (2012)",7.83,3.040776699,2,0.75,13,1,0,Hospitals,"Kemp, Kersten and Severijnen (2012)",De Economist,St. Lucas Ziekenhuis,Delfzicht ziekenhuis
5,EU1,2009,"Kemp, Kersten and Severijnen (2012)",-1.99,0.894060828,1,0.75,13,0,0,Hospitals,"Kemp, Kersten and Severijnen (2012)",De Economist,Ziekenhuis Walcheren,Oosterscheldeziekenhuizen
5,EU1,2009,"Kemp, Kersten and Severijnen (2012)",-0.97,0.88449848,1,0.75,13,0,0,Hospitals,"Kemp, Kersten and Severijnen (2012)",De Economist,Ziekenhuis Walcheren,Oosterscheldeziekenhuizen
6,EU1,2009,"Kemp, Kersten and Severijnen (2012)",-0.08,0.072948328,1,0.75,13,0,0,Hospitals,"Kemp, Kersten and Severijnen (2012)",De Economist,Ziekenhuis Bethesda,Scheperziekenhuis
6,EU1,2009,"Kemp, Kersten and Severijnen (2012)",-4.16,1.615533981,1,0.75,13,0,0,Hospitals,"Kemp, Kersten and Severijnen (2012)",De Economist,Ziekenhuis Bethesda,Scheperziekenhuis
7,EU2,2007,"Aguzzoni, L., Argentesi, E., Buccirossi, P., Ciari, L., Duso, T., Tognoni, M., & Vitale, C. (2013)",-18.85447761,5.276119403,3,0.3,23,0,1,Computer games,"Aguzzoni, L., Argentesi, E., Buccirossi, P., Ciari, L., Duso, T., Tognoni, M., & Vitale, C. (2013)",WP,Game,Gamestation
7,EU2,2007,"Aguzzoni, L., Argentesi, E., Buccirossi, P., Ciari, L., Duso, T., Tognoni, M., & Vitale, C. (2013)",-19.31196581,5.226495726,3,0.3,23,0,1,Computer games,"Aguzzoni, L., Argentesi, E., Buccirossi, P., Ciari, L., Duso, T., Tognoni, M., & Vitale, C. (2013)",WP,Game,Gamestation
8,EU3,2006,"Aguzzoni, L., Argentesi, E., Ciari, L., Duso, T., & Tognoni, M. (2013)",-1.5,0.260173913,1,1.13,24,0,0,Books,"Aguzzoni, L., Argentesi, E., Ciari, L., Duso, T., & Tognoni, M. (2013)",J INDUS ECON,Waterstones,Ottokars
8,EU3,2006,"Aguzzoni, L., Argentesi, E., Ciari, L., Duso, T., & Tognoni, M. (2013)",-1.54,0.646736842,1,1.13,24,0,0,Books,"Aguzzoni, L., Argentesi, E., Ciari, L., Duso, T., & Tognoni, M. (2013)",J INDUS ECON,Waterstones,Ottokars
8,EU3,2006,"Aguzzoni, L., Argentesi, E., Ciari, L., Duso, T., & Tognoni, M. (2013)",-0.56,0.264400378,1,1.13,24,0,0,Books,"Aguzzoni, L., Argentesi, E., Ciari, L., Duso, T., & Tognoni, M. (2013)",J INDUS ECON,Waterstones,Ottokars
8,EU3,2006,"Aguzzoni, L., Argentesi, E., Ciari, L., Duso, T., & Tognoni, M. (2013)",-1.17,0.428204187,1,1.13,24,0,0,Books,"Aguzzoni, L., Argentesi, E., Ciari, L., Duso, T., & Tognoni, M. (2013)",J INDUS ECON,Waterstones,Ottokars
8,EU3,2006,"Aguzzoni, L., Argentesi, E., Ciari, L., Duso, T., & Tognoni, M. (2013)",-0.82,0.865180467,1,1.13,24,0,0,Books,"Aguzzoni, L., Argentesi, E., Ciari, L., Duso, T., & Tognoni, M. (2013)",J INDUS ECON,Waterstones,Ottokars
8,EU3,2006,"Aguzzoni, L., Argentesi, E., Ciari, L., Duso, T., & Tognoni, M. (2013)",0.93,0.249865229,1,1.13,24,0,0,Books,"Aguzzoni, L., Argentesi, E., Ciari, L., Duso, T., & Tognoni, M. (2013)",J INDUS ECON,Waterstones,Ottokars
8,EU3,2006,"Aguzzoni, L., Argentesi, E., Ciari, L., Duso, T., & Tognoni, M. (2013)",1.54,0.555756045,1,1.13,24,0,0,Books,"Aguzzoni, L., Argentesi, E., Ciari, L., Duso, T., & Tognoni, M. (2013)",J INDUS ECON,Waterstones,Ottokars
8,EU3,2006,"Aguzzoni, L., Argentesi, E., Ciari, L., Duso, T., & Tognoni, M. (2013)",0.24,0.261878453,1,1.13,24,0,0,Books,"Aguzzoni, L., Argentesi, E., Ciari, L., Duso, T., & Tognoni, M. (2013)",J INDUS ECON,Waterstones,Ottokars
8,EU3,2006,"Aguzzoni, L., Argentesi, E., Ciari, L., Duso, T., & Tognoni, M. (2013)",1.43,0.42508918,1,1.13,24,0,0,Books,"Aguzzoni, L., Argentesi, E., Ciari, L., Duso, T., & Tognoni, M. (2013)",J INDUS ECON,Waterstones,Ottokars
8,EU3,2006,"Aguzzoni, L., Argentesi, E., Ciari, L., Duso, T., & Tognoni, M. (2013)",0.54,0.833846154,1,1.13,24,0,0,Books,"Aguzzoni, L., Argentesi, E., Ciari, L., Duso, T., & Tognoni, M. (2013)",J INDUS ECON,Waterstones,Ottokars
9,EU4,2000,"Allain, Marie-Laure, et al. (2013)",2.4,1.16,1,0.3,12,0,0,Books,"Allain, Marie-Laure, et al. (2013)",WP,Carrefour,Promodes
10,EU5,2004,"Perdiguero, Jordi, and Juan Luis Jiménez González (2012)",0.02,0.5876,1,0.73,8,0,0,Petroleum,"Perdiguero, Jordi, and Juan Luis Jiménez González (2012)",EUR J LAW ECON,DISA,Shell
10,EU5,2004,"Perdiguero, Jordi, and Juan Luis Jiménez González (2012)",-0.26,0.6019,1,0.73,8,0,0,Petroleum,"Perdiguero, Jordi, and Juan Luis Jiménez González (2012)",EUR J LAW ECON,DISA,Shell
10,EU5,2004,"Perdiguero, Jordi, and Juan Luis Jiménez González (2012)",-0.4,0.6219,1,0.73,8,0,0,Petroleum,"Perdiguero, Jordi, and Juan Luis Jiménez González (2012)",EUR J LAW ECON,DISA,Shell
10,EU5,2004,"Perdiguero, Jordi, and Juan Luis Jiménez González (2012)",-0.33,0.6241,1,0.73,8,0,0,Petroleum,"Perdiguero, Jordi, and Juan Luis Jiménez González (2012)",EUR J LAW ECON,DISA,Shell
10,EU5,2004,"Perdiguero, Jordi, and Juan Luis Jiménez González (2012)",0.02,0.6089,1,0.73,8,0,0,Petroleum,"Perdiguero, Jordi, and Juan Luis Jiménez González (2012)",EUR J LAW ECON,DISA,Shell
11,EU6,2007,"Csorba, Koltay and Farkas (2011)",0.01,0.009118541,1,0.3,6,0,0,Petroleum,"Csorba, Koltay and Farkas (2011)",WP,Agip,Esso
11,EU6,2007,"Csorba, Koltay and Farkas (2011)",0.7,0.27184466,1,0.3,6,0,0,Petroleum,"Csorba, Koltay and Farkas (2011)",WP,Agip,Esso
11,EU6,2007,"Csorba, Koltay and Farkas (2011)",0.01,0.009118541,1,0.3,6,0,0,Petroleum,"Csorba, Koltay and Farkas (2011)",WP,Agip,Esso
11,EU6,2007,"Csorba, Koltay and Farkas (2011)",0.5,0.455927052,1,0.3,6,0,0,Petroleum,"Csorba, Koltay and Farkas (2011)",WP,Agip,Esso
12,EU6,2007,"Csorba, Koltay and Farkas (2011)",0.8,0.310679612,1,0.3,6,0,0,Petroleum,"Csorba, Koltay and Farkas (2011)",WP,Lukoil,Jet
12,EU6,2007,"Csorba, Koltay and Farkas (2011)",0.01,0.009118541,1,0.3,6,0,0,Petroleum,"Csorba, Koltay and Farkas (2011)",WP,Lukoil,Jet
12,EU6,2007,"Csorba, Koltay and Farkas (2011)",0.01,0.009118541,1,0.3,6,0,0,Petroleum,"Csorba, Koltay and Farkas (2011)",WP,Lukoil,Jet
12,EU6,2007,"Csorba, Koltay and Farkas (2011)",0.01,0.009118541,1,0.3,6,0,0,Petroleum,"Csorba, Koltay and Farkas (2011)",WP,Lukoil,Jet
13,EU7,2009,"Björnerstedt, J., & Verboven, F. (2013)",42.05,0.702455727,2,3.9,18,0,1,Pharmaceuticals,"Björnerstedt, J., & Verboven, F. (2013)",AM ECON J-APPL ECON,GlaxoSmithKline,AstraZeneca Tica
13,EU7,2009,"Björnerstedt, J., & Verboven, F. (2013)",1.01,0.501252086,2,3.9,18,0,1,Pharmaceuticals,"Björnerstedt, J., & Verboven, F. (2013)",AM ECON J-APPL ECON,GlaxoSmithKline,AstraZeneca Tica
13,EU7,2009,"Björnerstedt, J., & Verboven, F. (2013)",10.52,0.400801068,2,3.9,18,0,1,Pharmaceuticals,"Björnerstedt, J., & Verboven, F. (2013)",AM ECON J-APPL ECON,GlaxoSmithKline,AstraZeneca Tica
13,EU7,2009,"Björnerstedt, J., & Verboven, F. (2013)",42.76,0.601803605,2,3.9,18,0,1,Pharmaceuticals,"Björnerstedt, J., & Verboven, F. (2013)",AM ECON J-APPL ECON,GlaxoSmithKline,AstraZeneca Tica
13,EU7,2009,"Björnerstedt, J., & Verboven, F. (2013)",46.08,0.904062177,2,3.9,18,0,1,Pharmaceuticals,"Björnerstedt, J., & Verboven, F. (2013)",AM ECON J-APPL ECON,GlaxoSmithKline,AstraZeneca Tica
13,EU7,2009,"Björnerstedt, J., & Verboven, F. (2013)",1.21,0.30045045,2,3.9,18,0,1,Pharmaceuticals,"Björnerstedt, J., & Verboven, F. (2013)",AM ECON J-APPL ECON,GlaxoSmithKline,AstraZeneca Tica
13,EU7,2009,"Björnerstedt, J., & Verboven, F. (2013)",2.94,4.498235489,2,3.9,18,0,1,Pharmaceuticals,"Björnerstedt, J., & Verboven, F. (2013)",AM ECON J-APPL ECON,GlaxoSmithKline,AstraZeneca Tica
13,EU7,2009,"Björnerstedt, J., & Verboven, F. (2013)",8.76,0.501252086,2,3.9,18,0,1,Pharmaceuticals,"Björnerstedt, J., & Verboven, F. (2013)",AM ECON J-APPL ECON,GlaxoSmithKline,AstraZeneca Tica
13,EU7,2009,"Björnerstedt, J., & Verboven, F. (2013)",11.07,0.400801068,2,3.9,18,0,1,Pharmaceuticals,"Björnerstedt, J., & Verboven, F. (2013)",AM ECON J-APPL ECON,GlaxoSmithKline,AstraZeneca Tica
14,EU8,2001,"Romahn, A., & Friberg, R. (2014)",-2,1.1,2,1.03,8,0,0,Brewing,"Romahn, A., & Friberg, R. (2014)",INT J IND ORGAN,Carlsberg,Pripps
14,EU8,2001,"Romahn, A., & Friberg, R. (2014)",-1.9,1.1,2,1.03,8,0,0,Brewing,"Romahn, A., & Friberg, R. (2014)",INT J IND ORGAN,Carlsberg,Pripps
14,EU8,2001,"Romahn, A., & Friberg, R. (2014)",-2,1.3,2,1.03,8,0,0,Brewing,"Romahn, A., & Friberg, R. (2014)",INT J IND ORGAN,Carlsberg,Pripps
14,EU8,2001,"Romahn, A., & Friberg, R. (2014)",-4.2,0.9,2,1.03,8,0,0,Brewing,"Romahn, A., & Friberg, R. (2014)",INT J IND ORGAN,Carlsberg,Pripps
14,EU8,2001,"Romahn, A., & Friberg, R. (2014)",3.5,1.4,2,1.03,8,0,0,Brewing,"Romahn, A., & Friberg, R. (2014)",INT J IND ORGAN,Carlsberg,Pripps
14,EU8,2001,"Romahn, A., & Friberg, R. (2014)",-1.1,1.1,2,1.03,8,0,0,Brewing,"Romahn, A., & Friberg, R. (2014)",INT J IND ORGAN,Carlsberg,Pripps
14,EU8,2001,"Romahn, A., & Friberg, R. (2014)",-3.2,1.2,2,1.03,8,0,0,Brewing,"Romahn, A., & Friberg, R. (2014)",INT J IND ORGAN,Carlsberg,Pripps
15,EU9,2012,Office of Fair Trading (2014),1.2,0.26,1,0.3,1,0,0,Petroleum,Office of Fair Trading (2014),OFT,Shell,Rontec
15,EU9,2012,Office of Fair Trading (2014),0.4,0.17,1,0.3,1,0,0,Petroleum,Office of Fair Trading (2014),OFT,Shell,Rontec
15,EU9,2012,Office of Fair Trading (2014),0.01,3.3,1,0.3,1,0,0,Petroleum,Office of Fair Trading (2014),OFT,Shell,Rontec
15,EU9,2012,Office of Fair Trading (2014),0.01,2.2,1,0.3,1,0,0,Petroleum,Office of Fair Trading (2014),OFT,Shell,Rontec
16,EU10,2001,"Choné, Philippe, and Laurent Linnemer (2012)",-1.2,2,1,1.13,20,0,0,Car Parking,"Choné, Philippe, and Laurent Linnemer (2012)",J INDUS ECON,Vinci,GTM
16,EU10,2001,"Choné, Philippe, and Laurent Linnemer (2012)",-1.3,2,1,1.13,20,0,0,Car Parking,"Choné, Philippe, and Laurent Linnemer (2012)",J INDUS ECON,Vinci,GTM
16,EU10,2001,"Choné, Philippe, and Laurent Linnemer (2012)",1,2,1,1.13,20,0,0,Car Parking,"Choné, Philippe, and Laurent Linnemer (2012)",J INDUS ECON,Vinci,GTM
16,EU10,2001,"Choné, Philippe, and Laurent Linnemer (2012)",1.7,2,1,1.13,20,0,0,Car Parking,"Choné, Philippe, and Laurent Linnemer (2012)",J INDUS ECON,Vinci,GTM
16,EU10,2001,"Choné, Philippe, and Laurent Linnemer (2012)",3.1,2,1,1.13,20,0,0,Car Parking,"Choné, Philippe, and Laurent Linnemer (2012)",J INDUS ECON,Vinci,GTM
16,EU10,2001,"Choné, Philippe, and Laurent Linnemer (2012)",3,2,1,1.13,20,0,0,Car Parking,"Choné, Philippe, and Laurent Linnemer (2012)",J INDUS ECON,Vinci,GTM
16,EU10,2001,"Choné, Philippe, and Laurent Linnemer (2012)",3,2,1,1.13,20,0,0,Car Parking,"Choné, Philippe, and Laurent Linnemer (2012)",J INDUS ECON,Vinci,GTM
16,EU10,2001,"Choné, Philippe, and Laurent Linnemer (2012)",2.8,2,1,1.13,20,0,0,Car Parking,"Choné, Philippe, and Laurent Linnemer (2012)",J INDUS ECON,Vinci,GTM
16,EU10,2001,"Choné, Philippe, and Laurent Linnemer (2012)",-1,2,1,1.13,20,0,0,Car Parking,"Choné, Philippe, and Laurent Linnemer (2012)",J INDUS ECON,Vinci,GTM
16,EU10,2001,"Choné, Philippe, and Laurent Linnemer (2012)",-1,2,1,1.13,20,0,0,Car Parking,"Choné, Philippe, and Laurent Linnemer (2012)",J INDUS ECON,Vinci,GTM
16,EU10,2001,"Choné, Philippe, and Laurent Linnemer (2012)",1.1,2,1,1.13,20,0,0,Car Parking,"Choné, Philippe, and Laurent Linnemer (2012)",J INDUS ECON,Vinci,GTM
16,EU10,2001,"Choné, Philippe, and Laurent Linnemer (2012)",2.3,2,1,1.13,20,0,0,Car Parking,"Choné, Philippe, and Laurent Linnemer (2012)",J INDUS ECON,Vinci,GTM
16,EU10,2001,"Choné, Philippe, and Laurent Linnemer (2012)",3.8,2,1,1.13,20,0,0,Car Parking,"Choné, Philippe, and Laurent Linnemer (2012)",J INDUS ECON,Vinci,GTM
16,EU10,2001,"Choné, Philippe, and Laurent Linnemer (2012)",3.8,2,1,1.13,20,0,0,Car Parking,"Choné, Philippe, and Laurent Linnemer (2012)",J INDUS ECON,Vinci,GTM
16,EU10,2001,"Choné, Philippe, and Laurent Linnemer (2012)",3.7,2,1,1.13,20,0,0,Car Parking,"Choné, Philippe, and Laurent Linnemer (2012)",J INDUS ECON,Vinci,GTM
16,EU10,2001,"Choné, Philippe, and Laurent Linnemer (2012)",3.7,2,1,1.13,20,0,0,Car Parking,"Choné, Philippe, and Laurent Linnemer (2012)",J INDUS ECON,Vinci,GTM
16,EU10,2001,"Choné, Philippe, and Laurent Linnemer (2012)",-0.5,2,1,1.13,20,0,0,Car Parking,"Choné, Philippe, and Laurent Linnemer (2012)",J INDUS ECON,Vinci,GTM
16,EU10,2001,"Choné, Philippe, and Laurent Linnemer (2012)",-1,2,1,1.13,20,0,0,Car Parking,"Choné, Philippe, and Laurent Linnemer (2012)",J INDUS ECON,Vinci,GTM
16,EU10,2001,"Choné, Philippe, and Laurent Linnemer (2012)",1.8,2,1,1.13,20,0,0,Car Parking,"Choné, Philippe, and Laurent Linnemer (2012)",J INDUS ECON,Vinci,GTM
16,EU10,2001,"Choné, Philippe, and Laurent Linnemer (2012)",2.3,2,1,1.13,20,0,0,Car Parking,"Choné, Philippe, and Laurent Linnemer (2012)",J INDUS ECON,Vinci,GTM
16,EU10,2001,"Choné, Philippe, and Laurent Linnemer (2012)",3.6,2,1,1.13,20,0,0,Car Parking,"Choné, Philippe, and Laurent Linnemer (2012)",J INDUS ECON,Vinci,GTM
16,EU10,2001,"Choné, Philippe, and Laurent Linnemer (2012)",3.4,2,1,1.13,20,0,0,Car Parking,"Choné, Philippe, and Laurent Linnemer (2012)",J INDUS ECON,Vinci,GTM
16,EU10,2001,"Choné, Philippe, and Laurent Linnemer (2012)",3.6,2,1,1.13,20,0,0,Car Parking,"Choné, Philippe, and Laurent Linnemer (2012)",J INDUS ECON,Vinci,GTM
16,EU10,2001,"Choné, Philippe, and Laurent Linnemer (2012)",3.4,2,1,1.13,20,0,0,Car Parking,"Choné, Philippe, and Laurent Linnemer (2012)",J INDUS ECON,Vinci,GTM
16,EU10,2001,"Choné, Philippe, and Laurent Linnemer (2012)",-0.7,1,1,1.13,20,0,0,Car Parking,"Choné, Philippe, and Laurent Linnemer (2012)",J INDUS ECON,Vinci,GTM
16,EU10,2001,"Choné, Philippe, and Laurent Linnemer (2012)",-1.2,1,1,1.13,20,0,0,Car Parking,"Choné, Philippe, and Laurent Linnemer (2012)",J INDUS ECON,Vinci,GTM
16,EU10,2001,"Choné, Philippe, and Laurent Linnemer (2012)",1.2,2,1,1.13,20,0,0,Car Parking,"Choné, Philippe, and Laurent Linnemer (2012)",J INDUS ECON,Vinci,GTM
16,EU10,2001,"Choné, Philippe, and Laurent Linnemer (2012)",1.8,2,1,1.13,20,0,0,Car Parking,"Choné, Philippe, and Laurent Linnemer (2012)",J INDUS ECON,Vinci,GTM
16,EU10,2001,"Choné, Philippe, and Laurent Linnemer (2012)",3.6,2,1,1.13,20,0,0,Car Parking,"Choné, Philippe, and Laurent Linnemer (2012)",J INDUS ECON,Vinci,GTM
16,EU10,2001,"Choné, Philippe, and Laurent Linnemer (2012)",3.5,2,1,1.13,20,0,0,Car Parking,"Choné, Philippe, and Laurent Linnemer (2012)",J INDUS ECON,Vinci,GTM
16,EU10,2001,"Choné, Philippe, and Laurent Linnemer (2012)",3.2,2,1,1.13,20,0,0,Car Parking,"Choné, Philippe, and Laurent Linnemer (2012)",J INDUS ECON,Vinci,GTM
16,EU10,2001,"Choné, Philippe, and Laurent Linnemer (2012)",3.2,2,1,1.13,20,0,0,Car Parking,"Choné, Philippe, and Laurent Linnemer (2012)",J INDUS ECON,Vinci,GTM
17,US1,1976,Barton & Sherman 1984,-10.7,4.155339806,2,1.13,153,0,1,Diazo microfilm,Barton & Sherman 1984,J INDUS ECON,Scott Graphics,Xidex
17,US1,1976,Barton & Sherman 1984,-6.4,2.485436893,2,1.13,153,0,1,Diazo microfilm,Barton & Sherman 1984,J INDUS ECON,Scott Graphics,Xidex
17,US1,1976,Barton & Sherman 1984,15,5.825242718,2,1.13,153,0,1,Diazo microfilm,Barton & Sherman 1984,J INDUS ECON,Scott Graphics,Xidex
17,US1,1976,Barton & Sherman 1984,17.2,6.67961165,2,1.13,153,0,1,Diazo microfilm,Barton & Sherman 1984,J INDUS ECON,Scott Graphics,Xidex
17,US1,1976,Barton & Sherman 1984,11.9,4.621359223,2,1.13,153,0,1,Diazo microfilm,Barton & Sherman 1984,J INDUS ECON,Scott Graphics,Xidex
17,US1,1976,Barton & Sherman 1984,12.6,4.893203883,2,1.13,153,0,1,Diazo microfilm,Barton & Sherman 1984,J INDUS ECON,Scott Graphics,Xidex
17,US1,1976,Barton & Sherman 1984,12.7,4.932038835,2,1.13,153,0,1,Diazo microfilm,Barton & Sherman 1984,J INDUS ECON,Scott Graphics,Xidex
17,US1,1976,Barton & Sherman 1984,17.1,6.640776699,2,1.13,153,0,1,Diazo microfilm,Barton & Sherman 1984,J INDUS ECON,Scott Graphics,Xidex
17,US1,1976,Barton & Sherman 1984,14.8,5.747572816,2,1.13,153,0,1,Diazo microfilm,Barton & Sherman 1984,J INDUS ECON,Scott Graphics,Xidex
17,US1,1976,Barton & Sherman 1984,18.2,7.067961165,2,1.13,153,0,1,Diazo microfilm,Barton & Sherman 1984,J INDUS ECON,Scott Graphics,Xidex
17,US1,1976,Barton & Sherman 1984,10.6,4.116504854,2,1.13,153,0,1,Diazo microfilm,Barton & Sherman 1984,J INDUS ECON,Scott Graphics,Xidex
17,US1,1976,Barton & Sherman 1984,14.6,5.669902913,2,1.13,153,0,1,Diazo microfilm,Barton & Sherman 1984,J INDUS ECON,Scott Graphics,Xidex
17,US1,1976,Barton & Sherman 1984,17.9,6.951456311,2,1.13,153,0,1,Diazo microfilm,Barton & Sherman 1984,J INDUS ECON,Scott Graphics,Xidex
17,US1,1976,Barton & Sherman 1984,-1.7,0.660194175,2,1.13,153,0,1,Diazo microfilm,Barton & Sherman 1984,J INDUS ECON,Scott Graphics,Xidex
17,US1,1976,Barton & Sherman 1984,28.7,11.14563107,2,1.13,153,0,1,Diazo microfilm,Barton & Sherman 1984,J INDUS ECON,Scott Graphics,Xidex
17,US1,1976,Barton & Sherman 1984,2.2,0.854368932,2,1.13,153,0,1,Diazo microfilm,Barton & Sherman 1984,J INDUS ECON,Scott Graphics,Xidex
